date,ticker,open,high,low,close,volume,close_usd,usdcad,fx_series,daily_return,extreme_move,company_name,sector,in_portfolio
2016-02-04,NVDA,0.945738,0.966185,0.935539,0.94475,310796872,0.688292,1.3726,IEXE0101 (noon),-0.008307231090919798,False,NVIDIA Corporation,Technology,True
2016-02-05,NVDA,0.948731,0.959162,0.892074,0.894819,552101882,0.644868,1.3876,IEXE0101 (noon),-0.052851018788039106,False,NVIDIA Corporation,Technology,True
2016-02-08,NVDA,0.884098,0.888505,0.844136,0.856684,562575631,0.61539,1.3921,IEXE0101 (noon),-0.04261755729370975,False,NVIDIA Corporation,Technology,True
2016-02-09,NVDA,0.840356,0.895237,0.836284,0.859441,385907167,0.621882,1.382,IEXE0101 (noon),0.0032182228219506115,False,NVIDIA Corporation,Technology,True
2016-02-10,NVDA,0.874127,0.899384,0.861905,0.866734,323910975,0.620514,1.3968,IEXE0101 (noon),0.008485748294531081,False,NVIDIA Corporation,Technology,True
2016-02-11,NVDA,0.842244,0.868689,0.842244,0.859881,299427448,0.617287,1.393,IEXE0101 (noon),-0.007906693403050946,False,NVIDIA Corporation,Technology,True
2016-02-12,NVDA,0.867514,0.870181,0.835462,0.868564,307993344,0.627802,1.3835,IEXE0101 (noon),0.01009790889669615,False,NVIDIA Corporation,Technology,True
2016-02-16,NVDA,0.882578,0.914077,0.879877,0.912692,415661128,0.658508,1.386,IEXE0101 (noon),0.05080569768030907,False,NVIDIA Corporation,Technology,True
2016-02-17,NVDA,0.912401,0.932322,0.908791,0.923535,682089439,0.674901,1.3684,IEXE0101 (noon),0.011880239993338426,False,NVIDIA Corporation,Technology,True
2016-02-18,NVDA,1.002019,1.037037,1.001018,1.005622,1018990264,0.732907,1.3721,IEXE0101 (noon),0.0888834749089098,False,NVIDIA Corporation,Technology,True
2016-02-19,NVDA,1.006235,1.034123,0.998406,1.024962,463637035,0.742672,1.3801,IEXE0101 (noon),0.019231878379748935,False,NVIDIA Corporation,Technology,True
2016-02-22,NVDA,1.031106,1.064157,1.029081,1.052501,416075165,0.769091,1.3685,IEXE0101 (noon),0.026868313166731994,False,NVIDIA Corporation,Technology,True
2016-02-23,NVDA,1.052262,1.073524,1.047221,1.063377,353748632,0.77101,1.3792,IEXE0101 (noon),0.010333481868425975,False,NVIDIA Corporation,Technology,True
2016-02-24,NVDA,1.056999,1.0704,1.027792,1.068783,320941901,0.776393,1.3766,IEXE0101 (noon),0.005083803768560102,False,NVIDIA Corporation,Technology,True
2016-02-25,NVDA,1.057988,1.061541,1.037414,1.056282,332377813,0.778108,1.3575,IEXE0101 (noon),-0.011696480950763699,False,NVIDIA Corporation,Technology,True
2016-02-26,NVDA,1.059014,1.061543,1.036573,1.047125,337790289,0.772957,1.3547,IEXE0101 (noon),-0.008669086475013188,False,NVIDIA Corporation,Technology,True
2016-02-29,NVDA,1.046755,1.060338,1.037846,1.038474,267058530,0.767932,1.3523,IEXE0101 (noon),-0.008261668855198967,False,NVIDIA Corporation,Technology,True
2016-03-01,NVDA,1.032246,1.075164,1.030584,1.075164,310158921,0.801942,1.3407,IEXE0101 (noon),0.03533068714286558,False,NVIDIA Corporation,Technology,True
