date,portfolio_value,value_AAPL,value_MSFT,value_NVDA,value_AMZN,value_TSLA,value_RY,value_TD,profit_loss_cad,profit_loss_status,profit_loss_AAPL,profit_loss_MSFT,profit_loss_NVDA,profit_loss_AMZN,profit_loss_TSLA,profit_loss_RY,profit_loss_TD,portfolio_daily_return,portfolio_drawdown_pct
2019-12-03,1298888.9044,195203.2583,189727.7375,412884.3445,230478.0414,213980.7408,28571.928,28042.8539,1198888.9044,Profit,175203.2583,169727.7375,397884.3445,215478.0414,203980.7408,18571.928,18042.8539,-0.0058,-4.5256
2019-12-04,1293579.4138,195755.6348,189285.0608,413879.9059,227909.3027,210704.6094,27986.6923,28058.208,1193579.4138,Profit,175755.6348,169285.0608,398879.9059,212909.3027,200704.6094,17986.6923,18058.208,-0.0041,-4.9159
2019-12-05,1285176.3139,197883.5894,188687.5801,411019.0551,224458.3964,208247.4049,27862.7828,27017.5052,1185176.3139,Profit,177883.5894,168687.5801,396019.0551,209458.3964,198247.4049,17862.7828,17017.5052,-0.0065,-5.5336
2019-12-06,1310859.492,202951.1568,192148.6,420348.3835,227281.3638,213028.7064,27941.7772,27159.5043,1210859.492,Profit,182951.1568,172148.6,405348.3835,212281.3638,203028.7064,17941.7772,17159.5043,0.02,-3.6457
2019-12-09,1307404.9057,199802.5817,191397.3421,419714.1731,226655.9838,215011.7239,27812.1017,27010.9994,1207404.9057,Profit,179802.5817,171397.3421,404714.1731,211655.9838,205011.7239,17812.1017,17010.9994,-0.0026,-3.8996
2019-12-10,1316055.7581,200942.0066,191068.4,423227.3047,225299.1201,220874.3418,27648.6419,26995.9429,1216055.7581,Profit,180942.0066,171068.4,408227.3047,210299.1201,210874.3418,17648.6419,16995.9429,0.0066,-3.2638
2019-12-11,1325737.1137,202170.1886,191315.6969,428843.6447,225983.2591,222778.023,27645.649,27000.6524,1225737.1137,Profit,182170.1886,171315.6969,413843.6447,210983.2591,212778.023,17645.649,17000.6524,0.0074,-2.5521
2019-12-12,1345628.007,202392.0181,192955.9567,441446.4447,227156.1789,226860.4927,27651.3673,27165.5485,1245628.007,Profit,182392.0181,172955.9567,426446.4447,212156.1789,216860.4927,17651.3673,17165.5485,0.015,-1.0901
2019-12-13,1349774.3584,205163.3894,194616.4386,441321.6318,227252.1331,226064.0015,27867.4015,27489.3625,1249774.3584,Profit,185163.3894,174616.4386,426321.6318,212252.1331,216064.0015,17867.4015,17489.3625,0.0031,-0.7853
2019-12-16,1368457.2445,208026.0753,195293.559,442233.9846,227609.3015,239892.1921,27861.0205,27541.1116,1268457.2445,Profit,188026.0753,175293.559,427233.9846,212609.3015,229892.1921,17861.0205,17541.1116,0.0138,0.0
2019-12-17,1377048.1225,208711.1746,194483.2539,449015.6051,230684.3752,238640.5907,27871.5882,27641.5348,1277048.1225,Profit,188711.1746,174483.2539,434015.6051,215684.3752,228640.5907,17871.5882,17641.5348,0.0063,0.0
2019-12-18,1382020.2432,207573.9717,193465.9124,450009.4255,229114.2196,246785.5274,27662.0423,27409.1442,1282020.2432,Profit,187573.9717,173465.9124,435009.4255,214114.2196,236785.5274,17662.0423,17409.1442,0.0036,0.0
2019-12-19,1403630.6681,207823.718,195215.2217,461800.6116,230226.3619,253679.3221,27643.9783,27241.4546,1303630.6681,Profit,187823.718,175215.2217,446800.6116,215226.3619,243679.3221,17643.9783,17241.4546,0.0156,0.0
2019-12-20,1417779.0292,208062.3543,197931.8642,470973.0683,230218.4111,255467.2647,27767.3962,27358.6705,1317779.0292,Profit,188062.3543,177931.8642,455973.0683,215218.4111,245467.2647,17767.3962,17358.6705,0.0101,0.0
2019-12-23,1428783.0659,211392.6014,197871.7204,469748.4131,230985.8291,263972.4225,27570.2524,27241.8269,1328783.0659,Profit,191392.6014,177871.7204,454748.4131,215985.8291,253972.4225,17570.2524,17241.8269,0.0078,0.0
2019-12-24,1431474.8944,211538.2783,197787.1907,469254.2645,230445.0321,267708.3221,27524.7288,27217.0779,1331474.8944,Profit,191538.2783,177787.1907,454254.2645,215445.0321,257708.3221,17524.7288,17217.0779,0.0019,0.0
2019-12-26,1452316.6045,215733.3024,199445.5572,470367.9749,240692.127,271290.0422,27546.528,27241.0729,1352316.6045,Profit,195733.3024,179445.5572,455367.9749,225692.127,261290.0422,17546.528,17241.0729,0.0146,0.0
2019-12-27,1439319.4462,214353.2609,198603.2876,463004.0143,239378.7785,269311.0009,27523.8636,27145.2403,1339319.4462,Profit,194353.2609,178603.2876,448004.0143,224378.7785,259311.0009,17523.8636,17145.2403,-0.0089,-0.8949
2019-12-30,1415074.1925,215317.4192,196582.6552,453431.424,236102.2421,259122.5218,27455.3942,27062.5361,1315074.1925,Profit,195317.4192,176582.6552,438431.424,221102.2421,249122.5218,17455.3942,17062.5361,-0.0168,-2.5643
2019-12-31,1417408.5642,215704.3041,195655.2566,456773.6358,234939.3719,259969.5545,27378.9366,26987.5046,1317408.5642,Profit,195704.3041,175655.2566,441773.6358,219939.3719,249969.5545,17378.9366,16987.5046,0.0016,-2.4036
2020-01-02,1449511.5037,220702.9807,199328.0292,465870.0281,241392.4417,267465.4331,27560.2417,27192.3493,1349511.5037,Profit,200702.9807,179328.0292,450870.0281,226392.4417,257465.4331,17560.2417,17192.3493,0.0226,-0.1931
2020-01-03,1441895.6655,218496.9589,196818.8447,458269.1692,238388.7531,275306.5109,27455.1932,27160.2355,1341895.6655,Profit,198496.9589,176818.8447,443269.1692,223388.7531,265306.5109,17455.1932,17160.2355,-0.0053,-0.7175
2020-01-06,1452999.6606,219919.943,197053.8717,459553.4392,241602.0059,280218.86,27475.7118,27175.8291,1352999.6606,Profit,199919.943,177053.8717,444553.4392,226602.0059,270218.86,17475.7118,17175.8291,0.0077,0.0
2020-01-07,1471305.864,219554.4193,195816.991,466518.6469,242835.3351,291966.7899,27482.3022,27131.3796,1371305.864,Profit,199554.4193,175816.991,451518.6469,227835.3351,281966.7899,17482.3022,17131.3796,0.0126,0.0
2020-01-08,1493620.4292,223374.4544,199236.9007,468011.1785,241253.9748,306732.6247,27684.6742,27326.6219,1393620.4292,Profit,203374.4544,179236.9007,453011.1785,226253.9748,296732.6247,17684.6742,17326.6219,0.0152,0.0
2020-01-09,1506512.6954,229055.2576,202511.212,475065.5383,243398.1305,301222.0172,27793.456,27467.0838,1406512.6954,Profit,209055.2576,182511.212,460065.5383,228398.1305,291222.0172,17793.456,17467.0838,0.0086,0.0
